"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","name@ca","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","invoice_label@ca"
"account_tax_template_s_iva0_sdd","","True","IVA Exento SDD","IVA Exento SDD","sale","IVA Exento Repercutido Sujeto (Sin derecho a deducción)","IVA Exento Repercutido Sujeto (Sin derecho a deducción)","","IVA Exento SDD","","0.0","percent","tax_group_iva_0","","exento","E1","","","","base","","invoice","","","IVA Exento SDD","","","IVA Exento SDD"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_472","","","",""
"account_tax_template_p_iva4_nd_bc","","True","VAT 4% not deductible (goods)","VAT 4% not deductible","purchase","4% ND G","4% ND B","4% ND B","4% IVA no deducible (bienes corrientes)","4% IVA no deduïble (béns corrents)","4.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","4% IVA no deducible","","","4% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva4_nd_bi","","True","VAT 4% not deductible (investment goods)","VAT 4% not deductible","purchase","4% ND IG","4% ND BI","4% ND BI","4% IVA no deducible (bienes de inversión)","4% IVA no deduïble (béns d'inversió)","4.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","4% IVA no deducible","","","4% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva10_nd_bc","","True","VAT 10% not deductible (goods)","VAT 10% not deductible","purchase","10% ND G","10% ND B","10% ND B","10% IVA no deducible (bienes corrientes)","10% IVA no deduïble (béns corrents)","10.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","10% IVA no deducible","","","10% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva10_nd_bi","","True","VAT 10% not deductible (investment goods)","VAT 10% not deductible","purchase","10% ND IG","10% ND BI","10% ND BI","10% IVA no deducible (bienes de inversión)","10% IVA no deduïble (béns d'inversió)","10.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","10% IVA no deducible","","","10% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva0_nd_bc","","True","VAT 21% not deductible (goods)","VAT 21% not deductible","purchase","21% ND G","21% ND B","21% ND B","21% IVA no deducible (bienes corrientes)","21% IVA no deduïble (béns corrents)","21.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","21% IVA no deducible","","","21% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva0_nd_bi","","True","VAT 21% not deductible (investment goods)","VAT 21% not deductible","purchase","21% ND IG","21% ND BI","21% ND BI","21% IVA no deducible (bienes de inversión)","21% IVA no deduïble (béns d'inversió)","21.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","+mod390[232]","invoice","","","21% IVA no deducible","","","21% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","base","-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva4nd_ic_bc","","True","VAT 4% not deductible (intra-community goods)","VAT 4% not deductible","purchase","4% ND EU G","4% ND UE B","4% ND UE B","4% IVA no deducible (bienes corrientes intracomunitarios)","4% IVA no deduïble (béns corrents intracomunitaris)","4.0","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[10]||+mod390[21]||+mod390[232]","invoice","","","4% IVA no deducible","","","4% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[22]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[21]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[22]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4nd_ic_bi","","True","VAT 4% not deductible (intra-community investment goods)","VAT 4% not deductible","purchase","4% ND EU IG","4% ND UE BI","4% ND UE BI","4% IVA no deducible (bienes de inversión intracomunitarios)","4% IVA no deduïble (béns d'inversió intracomunitaris)","4.0","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[10]||+mod390[21]||+mod390[232]","invoice","","","4% IVA no deducible","","","4% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[22]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[21]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[22]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4nd_sp_in","","True","VAT 4% not deductible (intra-community services)","VAT 4% not deductible","purchase","4% ND EU S","4% ND UE S","4% ND UE S","4% IVA no deducible (servicios intracomunitarios)","4% IVA no deduïble (serveis intracomunitaris)","4.0","percent","tax_group_iva_4","","sujeto","","","service","","base","+mod303[10]||+mod390[545]||+mod390[232]","invoice","","","4% IVA no deducible","","","4% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[546]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[545]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[546]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_ic_bc","","True","VAT 10% not deductible (intra-community goods)","VAT 10% not deductible","purchase","10% ND EU G","10% ND UE B","10% ND UE B","10% IVA no deducible (bienes corrientes intracomunitarios)","10% IVA no deduïble (béns corrents intracomunitaris)","10.0","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[10]||+mod390[23]||+mod390[232]","invoice","","","10% IVA no deducible","","","10% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[24]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[23]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[24]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_ic_bi","","True","VAT 10% not deductible (intra-community investment goods)","VAT 10% not deductible","purchase","10% ND EU IG","10% ND UE BI","10% ND UE BI","10% IVA no deducible (bienes de inversión intracomunitarios)","10% IVA no deduïble (béns d'inversió intracomunitaris)","10.0","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[10]||+mod390[23]||+mod390[232]","invoice","","","10% IVA no deducible","","","10% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[24]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[23]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[24]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_sp_in","","True","VAT 10% not deductible (intra-community services)","VAT 10% not deductible","purchase","10% ND EU S","10% ND UE S","10% ND UE S","10% IVA no deducible (servicios intracomunitarios)","10% IVA no deduïble (serveis intracomunitaris)","10.0","percent","tax_group_iva_10","","sujeto","","","service","","base","+mod303[10]||+mod390[547]||+mod390[232]","invoice","","","10% IVA no deducible","","","10% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[548]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[547]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[548]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_ic_bc","","True","VAT 21% not deductible (intra-community goods)","VAT 21% not deductible","purchase","21% ND EU G","21% ND UE B","21% ND UE B","21% IVA no deducible (bienes corrientes intracomunitarios)","21% IVA no deduïble (béns corrents intracomunitaris)","21.0","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[10]||+mod390[25]||+mod390[232]","invoice","","","21% IVA no deducible","","","21% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[26]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[25]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[26]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_ic_bi","","True","VAT 21% not deductible (intra-community investment goods)","VAT 21% not deductible","purchase","21% ND EU IG","21% ND UE BI","21% ND UE BI","21% IVA no deducible (bienes de inversión intracomunitarios)","21% IVA no deduïble (béns d'inversió intracomunitaris)","21.0","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[10]||+mod390[25]||+mod390[232]","invoice","","","21% IVA no deducible","","","21% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[26]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[25]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[26]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_sp_in","","True","VAT 21% not deductible (intra-community services)","VAT 21% not deductible","purchase","21% ND EU S","21% ND UE S","21% ND UE S","21% IVA no deducible (servicios intracomunitarios)","21% IVA no deduïble (serveis intracomunitaris)","21.0","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[10]||+mod390[551]||+mod390[232]","invoice","","","21% IVA no deducible","","","21% IVA no deduïble"
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[552]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod390[551]||-mod390[232]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[552]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4_nd","","","VAT 4% not deductible (services)","VAT 4% not deductible","","4% ND S","4% ND S","4% ND S","4% IVA no deducible (servicios corrientes)","4% IVA no deduïble (serveis corrents)","","","","","","","","","","","","","","","4% IVA no deducible","","","4% IVA no deduïble"
"account_tax_template_p_iva10_nd","","","VAT 10% not deductible (services)","VAT 10% not deductible","","10% ND S","10% ND S","10% ND S","10% IVA no deducible (servicios corrientes)","10% IVA no deduïble (serveis corrents)","","","","","","","","","","","","","","","10% IVA no deducible","","","10% IVA no deduïble"
"account_tax_template_p_iva0_nd","","","VAT 21% not deductible (services)","VAT 21% not deductible","","21% ND S","21% ND S","21% ND S","21% IVA no deducible (servicios corrientes)","21% IVA no deduïble (serveis corrents)","","","","","","","","","","","","","","","21% IVA no deducible","","","21% IVA no deduïble"
